date,iso3,country_name,commodity,conflict_intensity,freight_volatility,export_restriction_sentiment,price_shock,weather_risk
2025-08-31,TUR,Turkey,Wheat,0.4713,0.5378,0.3155,0.474,0.2402
2025-08-31,TUR,Turkey,Rice,0.23,0.4449,0.469,0.5274,0.4725
2025-08-31,TUR,Turkey,Corn,0.314,0.3369,0.4103,0.6506,0.638
2025-08-31,RUS,Russia,Wheat,0.2564,0.2724,0.4335,0.5165,0.4076
2025-08-31,RUS,Russia,Rice,0.5842,0.6056,0.52,0.3123,0.3396
2025-08-31,RUS,Russia,Corn,0.241,0.3524,0.4113,0.6249,0.2764
2025-08-31,KAZ,Kazakhstan,Wheat,0.2665,0.5449,0.2569,0.5482,0.4872
2025-08-31,KAZ,Kazakhstan,Rice,0.2257,0.558,0.153,0.5755,0.625
2025-08-31,KAZ,Kazakhstan,Corn,0.1779,0.4426,0.2467,0.679,0.499
2025-08-31,SAU,Saudi Arabia,Wheat,0.0626,0.3546,0.6166,0.4282,0.6407
2025-08-31,SAU,Saudi Arabia,Rice,0.3763,0.7239,0.4775,0.675,0.6857
2025-08-31,SAU,Saudi Arabia,Corn,0.3657,0.5896,0.4276,0.6153,0.5139
2025-08-31,IRN,Iran,Wheat,0.4571,0.6018,0.4111,0.3296,0.3636
2025-08-31,IRN,Iran,Rice,0.3761,0.6129,0.4367,0.5134,0.3773
2025-08-31,IRN,Iran,Corn,0.1382,0.3729,0.2994,0.3599,0.5101
2025-08-31,IRQ,Iraq,Wheat,0.1973,0.3456,0.5317,0.5532,0.2721
2025-08-31,IRQ,Iraq,Rice,0.3543,0.5013,0.3787,0.3034,0.4501
2025-08-31,IRQ,Iraq,Corn,0.5922,0.522,0.5325,0.6284,0.6228
2025-08-31,ISR,Israel,Wheat,0.2228,0.2329,0.3435,0.5767,0.6667
2025-08-31,ISR,Israel,Rice,0.5166,0.4395,0.5611,0.4731,0.5416
2025-08-31,ISR,Israel,Corn,0.2009,0.3397,0.3897,0.2145,0.4081
2025-08-31,EGY,Egypt,Wheat,0.3489,0.4322,0.2408,0.4337,0.3038
2025-08-31,EGY,Egypt,Rice,0.3592,0.2435,0.3667,0.4822,0.2536
2025-08-31,EGY,Egypt,Corn,0.3825,0.2978,0.4039,0.2251,0.4296
2025-08-31,DZA,Algeria,Wheat,0.1419,0.3934,0.5687,0.3896,0.616
2025-08-31,DZA,Algeria,Rice,0.4569,0.3561,0.195,0.2097,0.5097
2025-08-31,DZA,Algeria,Corn,0.5466,0.405,0.5076,0.5906,0.5659
2025-08-31,MAR,Morocco,Wheat,0.3911,0.7048,0.2596,0.2102,0.3162
2025-08-31,MAR,Morocco,Rice,0.1443,0.5647,0.4602,0.309,0.5897
2025-08-31,MAR,Morocco,Corn,0.4467,0.3139,0.484,0.574,0.2973
2025-08-31,NGA,Nigeria,Wheat,0.3837,0.7124,0.2095,0.2128,0.396
2025-08-31,NGA,Nigeria,Rice,0.3557,0.7091,0.3682,0.5575,0.278
2025-08-31,NGA,Nigeria,Corn,0.3758,0.5436,0.206,0.5862,0.6651
2025-08-31,ETH,Ethiopia,Wheat,0.3652,0.2905,0.6911,0.5913,0.4136
2025-08-31,ETH,Ethiopia,Rice,0.3236,0.4153,0.4283,0.3706,0.6648
2025-08-31,ETH,Ethiopia,Corn,0.515,0.2828,0.6784,0.5178,0.6544
2025-08-31,KEN,Kenya,Wheat,0.32,0.4477,0.5536,0.6827,0.375
2025-08-31,KEN,Kenya,Rice,0.4012,0.4991,0.4159,0.4178,0.6055
2025-08-31,KEN,Kenya,Corn,0.1724,0.6559,0.6069,0.2433,0.6808
2025-08-31,ZAF,South Africa,Wheat,0.1597,0.4624,0.4857,0.3895,0.2543
2025-08-31,ZAF,South Africa,Rice,0.4688,0.3209,0.2667,0.5989,0.4102
2025-08-31,ZAF,South Africa,Corn,0.4961,0.5806,0.3019,0.2051,0.714
2025-08-31,SDN,Sudan,Wheat,0.1402,0.59,0.4187,0.5791,0.5853
2025-08-31,SDN,Sudan,Rice,0.4282,0.4754,0.5861,0.2465,0.3508
2025-08-31,SDN,Sudan,Corn,0.4629,0.3831,0.4699,0.4366,0.5055
2025-08-31,TZA,Tanzania,Wheat,0.2015,0.603,0.3319,0.5514,0.3755
2025-08-31,TZA,Tanzania,Rice,0.159,0.2903,0.2559,0.2598,0.5079
2025-08-31,TZA,Tanzania,Corn,0.403,0.3226,0.269,0.4421,0.6023
2025-08-31,UGA,Uganda,Wheat,0.4411,0.4923,0.3056,0.2503,0.3371
2025-08-31,UGA,Uganda,Rice,0.1399,0.3197,0.1578,0.4671,0.3772
2025-08-31,UGA,Uganda,Corn,0.4901,0.5067,0.5336,0.2631,0.6742
2025-08-31,GHA,Ghana,Wheat,0.2326,0.6664,0.4657,0.4347,0.4602
2025-08-31,GHA,Ghana,Rice,0.1305,0.2557,0.6676,0.4389,0.6511
2025-08-31,GHA,Ghana,Corn,0.242,0.267,0.4962,0.2268,0.3146
2025-08-31,CIV,Cote d'Ivoire,Wheat,0.2649,0.3819,0.6967,0.2592,0.6222
2025-08-31,CIV,Cote d'Ivoire,Rice,0.3204,0.6254,0.2741,0.4613,0.4653
2025-08-31,CIV,Cote d'Ivoire,Corn,0.2609,0.6601,0.6945,0.3527,0.5505
2025-08-31,SEN,Senegal,Wheat,0.2977,0.6,0.6712,0.3039,0.3455
2025-08-31,SEN,Senegal,Rice,0.3564,0.3085,0.2456,0.2375,0.2413
2025-08-31,SEN,Senegal,Corn,0.276,0.5269,0.3102,0.3157,0.5935
2025-08-31,MLI,Mali,Wheat,0.3447,0.457,0.5281,0.662,0.6339
2025-08-31,MLI,Mali,Rice,0.3455,0.5606,0.6635,0.4126,0.5123
2025-08-31,MLI,Mali,Corn,0.3697,0.6842,0.6046,0.2357,0.323
2025-08-31,NER,Niger,Wheat,0.1668,0.6045,0.4631,0.3443,0.3022
2025-08-31,NER,Niger,Rice,0.3741,0.5799,0.6685,0.4502,0.4869
2025-08-31,NER,Niger,Corn,0.1145,0.2499,0.3876,0.3612,0.3652
2025-08-31,CMR,Cameroon,Wheat,0.0494,0.711,0.6098,0.4876,0.7154
2025-08-31,CMR,Cameroon,Rice,0.494,0.5661,0.2982,0.2201,0.6181
2025-08-31,CMR,Cameroon,Corn,0.27,0.5558,0.6538,0.2907,0.5327
2025-08-31,COD,DR Congo,Wheat,0.289,0.4759,0.2002,0.374,0.4067
2025-08-31,COD,DR Congo,Rice,0.3408,0.6589,0.3314,0.5468,0.3841
2025-08-31,COD,DR Congo,Corn,0.4786,0.6368,0.4526,0.4274,0.3973
2025-08-31,IND,India,Wheat,0.1821,0.7151,0.3723,0.4573,0.7341
2025-08-31,IND,India,Rice,0.3685,0.5013,0.3773,0.2938,0.4209
2025-08-31,IND,India,Corn,0.427,0.5427,0.568,0.3018,0.5146
2025-08-31,PAK,Pakistan,Wheat,0.4675,0.4491,0.534,0.2607,0.7266
2025-08-31,PAK,Pakistan,Rice,0.3599,0.3496,0.2371,0.4754,0.5161
2025-08-31,PAK,Pakistan,Corn,0.1419,0.7261,0.6521,0.4307,0.2987
2025-08-31,BGD,Bangladesh,Wheat,0.4145,0.4792,0.5441,0.4544,0.3767
2025-08-31,BGD,Bangladesh,Rice,0.4515,0.7201,0.2841,0.4756,0.4318
2025-08-31,BGD,Bangladesh,Corn,0.5048,0.4841,0.6336,0.632,0.3781
2025-08-31,CHN,China,Wheat,0.4138,0.4375,0.6638,0.4539,0.6503
2025-08-31,CHN,China,Rice,0.2215,0.3793,0.4728,0.6995,0.4848
2025-08-31,CHN,China,Corn,0.1752,0.4993,0.3398,0.476,0.5117
2025-08-31,MNG,Mongolia,Wheat,0.2816,0.3909,0.2538,0.5487,0.5259
2025-08-31,MNG,Mongolia,Rice,0.2176,0.6178,0.174,0.5724,0.5926
2025-08-31,MNG,Mongolia,Corn,0.4918,0.423,0.515,0.6104,0.7304
2025-08-31,JPN,Japan,Wheat,0.2829,0.2485,0.4263,0.4951,0.6749
2025-08-31,JPN,Japan,Rice,0.4893,0.4502,0.4393,0.4285,0.6012
2025-08-31,JPN,Japan,Corn,0.2945,0.5574,0.2349,0.4347,0.7246
2025-08-31,KOR,South Korea,Wheat,0.2124,0.5764,0.5074,0.6259,0.6662
2025-08-31,KOR,South Korea,Rice,0.4826,0.42,0.3242,0.5594,0.6197
2025-08-31,KOR,South Korea,Corn,0.5026,0.2479,0.1876,0.5156,0.7005
2025-08-31,PRK,North Korea,Wheat,0.5155,0.6034,0.3887,0.2492,0.5569
2025-08-31,PRK,North Korea,Rice,0.4952,0.4518,0.5317,0.6517,0.263
2025-08-31,PRK,North Korea,Corn,0.4749,0.3767,0.3562,0.2728,0.5056
2025-08-31,IDN,Indonesia,Wheat,0.258,0.6263,0.2435,0.2395,0.6754
2025-08-31,IDN,Indonesia,Rice,0.3181,0.3504,0.6521,0.2716,0.4706
2025-08-31,IDN,Indonesia,Corn,0.1676,0.3577,0.1552,0.6023,0.6906
2025-08-31,PHL,Philippines,Wheat,0.3266,0.309,0.393,0.3728,0.5338
2025-08-31,PHL,Philippines,Rice,0.3451,0.4422,0.2876,0.6227,0.3396
2025-08-31,PHL,Philippines,Corn,0.2448,0.4716,0.2805,0.486,0.5274
2025-08-31,VNM,Vietnam,Wheat,0.4734,0.3776,0.6879,0.5291,0.3772
2025-08-31,VNM,Vietnam,Rice,0.3172,0.5729,0.5596,0.2245,0.5432
2025-08-31,VNM,Vietnam,Corn,0.3002,0.6821,0.3074,0.5994,0.5435
2025-08-31,THA,Thailand,Wheat,0.1835,0.5483,0.4915,0.5389,0.6005
2025-08-31,THA,Thailand,Rice,0.3575,0.6492,0.4955,0.6517,0.5632
2025-08-31,THA,Thailand,Corn,0.214,0.4504,0.4688,0.5662,0.2851
2025-08-31,MMR,Myanmar,Wheat,0.1678,0.6037,0.2466,0.2661,0.5097
2025-08-31,MMR,Myanmar,Rice,0.508,0.4954,0.6524,0.6152,0.3685
2025-08-31,MMR,Myanmar,Corn,0.4561,0.4709,0.5936,0.5733,0.4094
2025-08-31,MYS,Malaysia,Wheat,0.0585,0.7114,0.2274,0.6833,0.6701
2025-08-31,MYS,Malaysia,Rice,0.3684,0.72,0.682,0.6023,0.4229
2025-08-31,MYS,Malaysia,Corn,0.4125,0.237,0.4451,0.4274,0.5764
2025-08-31,SGP,Singapore,Wheat,0.3042,0.5223,0.6023,0.6701,0.2942
2025-08-31,SGP,Singapore,Rice,0.1428,0.2425,0.6363,0.4807,0.6976
2025-08-31,SGP,Singapore,Corn,0.1513,0.2616,0.6031,0.6547,0.3911
2025-08-31,AUS,Australia,Wheat,0.2254,0.2999,0.6704,0.3522,0.4863
2025-08-31,AUS,Australia,Rice,0.1213,0.6736,0.2246,0.4268,0.5752
2025-08-31,AUS,Australia,Corn,0.4261,0.703,0.3805,0.5711,0.3173
2025-08-31,NZL,New Zealand,Wheat,0.255,0.2795,0.4191,0.4041,0.7158
2025-08-31,NZL,New Zealand,Rice,0.1189,0.4153,0.3939,0.6753,0.6677
2025-08-31,NZL,New Zealand,Corn,0.163,0.5728,0.4495,0.6889,0.4193
2025-08-31,PNG,Papua New Guinea,Wheat,0.1892,0.3249,0.2172,0.624,0.4674
2025-08-31,PNG,Papua New Guinea,Rice,0.3441,0.5509,0.4784,0.2107,0.6334
2025-08-31,PNG,Papua New Guinea,Corn,0.1696,0.293,0.4605,0.2343,0.6226
2025-08-31,LKA,Sri Lanka,Wheat,0.1049,0.338,0.6283,0.3643,0.3138
2025-08-31,LKA,Sri Lanka,Rice,0.4528,0.2314,0.6221,0.2723,0.305
2025-08-31,LKA,Sri Lanka,Corn,0.1744,0.3172,0.5136,0.2129,0.2474
2025-08-31,NPL,Nepal,Wheat,0.4022,0.349,0.3281,0.2871,0.2662
2025-08-31,NPL,Nepal,Rice,0.4163,0.493,0.5601,0.4381,0.629
2025-08-31,NPL,Nepal,Corn,0.3276,0.2845,0.4271,0.6727,0.2617
2025-08-31,AFG,Afghanistan,Wheat,0.4091,0.6635,0.4368,0.429,0.722
2025-08-31,AFG,Afghanistan,Rice,0.1199,0.4695,0.3709,0.543,0.4851
2025-08-31,AFG,Afghanistan,Corn,0.516,0.2667,0.1944,0.5041,0.2728
2025-08-31,UZB,Uzbekistan,Wheat,0.1921,0.5465,0.4516,0.3626,0.7373
2025-08-31,UZB,Uzbekistan,Rice,0.343,0.4569,0.483,0.2496,0.5909
2025-08-31,UZB,Uzbekistan,Corn,0.5021,0.5555,0.5729,0.5604,0.3475
2025-08-31,TKM,Turkmenistan,Wheat,0.2682,0.3442,0.3364,0.4267,0.448
2025-08-31,TKM,Turkmenistan,Rice,0.1437,0.4434,0.5158,0.3872,0.3163
2025-08-31,TKM,Turkmenistan,Corn,0.5303,0.2636,0.6075,0.2466,0.2883
2025-08-31,KGZ,Kyrgyzstan,Wheat,0.4008,0.6359,0.456,0.4932,0.5208
2025-08-31,KGZ,Kyrgyzstan,Rice,0.2525,0.2911,0.3445,0.5327,0.6151
2025-08-31,KGZ,Kyrgyzstan,Corn,0.509,0.5905,0.6826,0.5002,0.4158
2025-08-31,TJK,Tajikistan,Wheat,0.3234,0.3364,0.5112,0.3121,0.2941
2025-08-31,TJK,Tajikistan,Rice,0.4796,0.4138,0.5694,0.4871,0.6436
2025-08-31,TJK,Tajikistan,Corn,0.4936,0.7173,0.6001,0.5068,0.5613
2025-08-31,ARE,UAE,Wheat,0.0518,0.6945,0.6062,0.3337,0.3302
2025-08-31,ARE,UAE,Rice,0.3921,0.3845,0.3369,0.2031,0.6749
2025-08-31,ARE,UAE,Corn,0.3448,0.4304,0.228,0.5166,0.2553
2025-08-31,QAT,Qatar,Wheat,0.3774,0.3376,0.3809,0.3704,0.425
2025-08-31,QAT,Qatar,Rice,0.4023,0.6184,0.4622,0.2425,0.2663
2025-08-31,QAT,Qatar,Corn,0.1625,0.5389,0.5207,0.3361,0.571
2025-08-31,KWT,Kuwait,Wheat,0.2669,0.451,0.3002,0.5775,0.2969
2025-08-31,KWT,Kuwait,Rice,0.2777,0.3716,0.5232,0.4433,0.5736
2025-08-31,KWT,Kuwait,Corn,0.1187,0.4276,0.4796,0.2038,0.3907
2025-08-31,OMN,Oman,Wheat,0.1301,0.2986,0.2905,0.3641,0.2439
2025-08-31,OMN,Oman,Rice,0.407,0.3178,0.3591,0.5518,0.4901
2025-08-31,OMN,Oman,Corn,0.46,0.6331,0.1896,0.6309,0.2612
2025-08-31,YEM,Yemen,Wheat,0.1134,0.6906,0.6242,0.4879,0.5267
2025-08-31,YEM,Yemen,Rice,0.4601,0.4388,0.2133,0.2104,0.4024
2025-08-31,YEM,Yemen,Corn,0.5156,0.5391,0.6076,0.6599,0.2841
2025-08-31,BOL,Bolivia,Wheat,0.4067,0.3517,0.4739,0.462,0.4379
2025-08-31,BOL,Bolivia,Rice,0.2022,0.3998,0.3332,0.2841,0.4952
2025-08-31,BOL,Bolivia,Corn,0.128,0.485,0.6483,0.3747,0.6037
2025-08-31,PRY,Paraguay,Wheat,0.4069,0.6375,0.2799,0.2732,0.3386
2025-08-31,PRY,Paraguay,Rice,0.3453,0.6101,0.5105,0.2886,0.6264
2025-08-31,PRY,Paraguay,Corn,0.3107,0.6072,0.5679,0.4245,0.7021
2025-08-31,URY,Uruguay,Wheat,0.309,0.5476,0.4935,0.6321,0.5536
2025-08-31,URY,Uruguay,Rice,0.1588,0.2641,0.3932,0.3514,0.3773
2025-08-31,URY,Uruguay,Corn,0.1303,0.4837,0.3207,0.426,0.2684
2025-08-31,GTM,Guatemala,Wheat,0.3993,0.2684,0.6253,0.6276,0.5475
2025-08-31,GTM,Guatemala,Rice,0.289,0.4614,0.4549,0.5959,0.6879
2025-08-31,GTM,Guatemala,Corn,0.2774,0.6349,0.5085,0.3608,0.4778
2025-08-31,HND,Honduras,Wheat,0.0929,0.2609,0.2069,0.6496,0.4117
2025-08-31,HND,Honduras,Rice,0.3823,0.4823,0.2449,0.3239,0.4589
2025-08-31,HND,Honduras,Corn,0.2727,0.4914,0.2373,0.3864,0.3814
2025-08-31,SLV,El Salvador,Wheat,0.2056,0.3992,0.4788,0.5946,0.5637
2025-08-31,SLV,El Salvador,Rice,0.0872,0.2773,0.5231,0.3421,0.6019
2025-08-31,SLV,El Salvador,Corn,0.3671,0.6832,0.6303,0.3667,0.5314
2025-08-31,NIC,Nicaragua,Wheat,0.0853,0.4049,0.6822,0.5492,0.436
2025-08-31,NIC,Nicaragua,Rice,0.3253,0.699,0.3203,0.3883,0.6358
2025-08-31,NIC,Nicaragua,Corn,0.4376,0.5651,0.6059,0.5694,0.5827
2025-08-31,CRI,Costa Rica,Wheat,0.2535,0.553,0.3829,0.3809,0.4213
2025-08-31,CRI,Costa Rica,Rice,0.1337,0.3371,0.6712,0.4431,0.3533
2025-08-31,CRI,Costa Rica,Corn,0.1285,0.2686,0.6144,0.2506,0.6254
2025-08-31,PAN,Panama,Wheat,0.3908,0.6718,0.1708,0.3684,0.6232
2025-08-31,PAN,Panama,Rice,0.1098,0.4184,0.2392,0.6157,0.6255
2025-08-31,PAN,Panama,Corn,0.429,0.3128,0.3907,0.4054,0.5782
2025-08-31,CUB,Cuba,Wheat,0.1419,0.4521,0.3067,0.5743,0.4645
2025-08-31,CUB,Cuba,Rice,0.3112,0.3847,0.5947,0.4345,0.6576
2025-08-31,CUB,Cuba,Corn,0.2505,0.7036,0.6914,0.4308,0.3809
2025-08-31,DOM,Dominican Republic,Wheat,0.2035,0.4937,0.6814,0.6084,0.6406
2025-08-31,DOM,Dominican Republic,Rice,0.1298,0.355,0.5026,0.6371,0.5173
2025-08-31,DOM,Dominican Republic,Corn,0.1278,0.6529,0.6181,0.3425,0.6216
2025-08-31,HTI,Haiti,Wheat,0.1544,0.6827,0.231,0.4187,0.7132
2025-08-31,HTI,Haiti,Rice,0.1675,0.4556,0.3423,0.2133,0.2666
2025-08-31,HTI,Haiti,Corn,0.3075,0.3479,0.697,0.3875,0.2541
2025-08-31,JAM,Jamaica,Wheat,0.4489,0.6496,0.5075,0.5957,0.3088
2025-08-31,JAM,Jamaica,Rice,0.195,0.6449,0.5328,0.2694,0.5928
2025-08-31,JAM,Jamaica,Corn,0.2818,0.2326,0.1936,0.328,0.6575
2025-08-31,TTO,Trinidad and Tobago,Wheat,0.2636,0.5936,0.4403,0.2556,0.3841
2025-08-31,TTO,Trinidad and Tobago,Rice,0.1881,0.2539,0.3809,0.5969,0.4686
2025-08-31,TTO,Trinidad and Tobago,Corn,0.1165,0.6826,0.4782,0.2082,0.4977
2025-08-31,BHS,Bahamas,Wheat,0.1505,0.3018,0.3861,0.5074,0.3603
2025-08-31,BHS,Bahamas,Rice,0.265,0.5622,0.1971,0.6873,0.2738
2025-08-31,BHS,Bahamas,Corn,0.3284,0.4837,0.6936,0.4771,0.4352
2025-08-31,ISL,Iceland,Wheat,0.3199,0.5478,0.6896,0.3268,0.2481
2025-08-31,ISL,Iceland,Rice,0.499,0.4024,0.5531,0.5141,0.6258
2025-08-31,ISL,Iceland,Corn,0.4891,0.3963,0.1744,0.473,0.6468
2025-08-31,CHE,Switzerland,Wheat,0.1571,0.6196,0.4055,0.5477,0.5559
2025-08-31,CHE,Switzerland,Rice,0.4794,0.2616,0.5769,0.4288,0.3867
2025-08-31,CHE,Switzerland,Corn,0.148,0.3297,0.173,0.6667,0.4977
2025-08-31,AUT,Austria,Wheat,0.5234,0.5015,0.2893,0.5766,0.3356
2025-08-31,AUT,Austria,Rice,0.2748,0.6204,0.6262,0.366,0.3022
2025-08-31,AUT,Austria,Corn,0.2939,0.6747,0.5588,0.6473,0.4333
2025-08-31,CZE,Czechia,Wheat,0.5198,0.4781,0.4236,0.6622,0.4996
2025-08-31,CZE,Czechia,Rice,0.4781,0.5935,0.1934,0.5012,0.6512
2025-08-31,CZE,Czechia,Corn,0.3771,0.3906,0.194,0.5305,0.3932
2025-08-31,HUN,Hungary,Wheat,0.3495,0.4431,0.5294,0.3758,0.2612
2025-08-31,HUN,Hungary,Rice,0.5057,0.4063,0.699,0.3373,0.73
2025-08-31,HUN,Hungary,Corn,0.5549,0.2675,0.5006,0.3817,0.6405
2025-09-01,USA,United States of America,Wheat,0.3707,0.7064,0.2301,0.5066,0.6306
2025-09-01,USA,United States of America,Rice,0.116,0.2636,0.5798,0.3859,0.4314
2025-09-01,USA,United States of America,Corn,0.3685,0.5325,0.5251,0.6772,0.4259
2025-09-01,CAN,Canada,Wheat,0.4384,0.5169,0.4428,0.4018,0.5647
2025-09-01,CAN,Canada,Rice,0.2427,0.2867,0.5562,0.4523,0.4334
2025-09-01,CAN,Canada,Corn,0.396,0.3609,0.2948,0.4259,0.7381
2025-09-01,MEX,Mexico,Wheat,0.1685,0.6882,0.4218,0.2641,0.6664
